"Step","Feb13_21-58-41_PPO - Loss / Policy loss","Feb13_21-58-41_PPO - Loss / Policy loss__MIN","Feb13_21-58-41_PPO - Loss / Policy loss__MAX"
"34","0","0","0"
"54","0","0","0"
"91","0","0","0"
"111","-0.0005004541","-0.0005004541","-0.0005004541"
"148","0.001307256","0.001307256","0.001307256"
"168","0.00091190083","0.00091190083","0.00091190083"
"205","0","0","0"
"225","0","0","0"
"262","-0.0026431272","-0.0026431272","-0.0026431272"
"282","0.0001883802","0.0001883802","0.0001883802"
"319","-0.00082307594","-0.00082307594","-0.00082307594"
"339","0","0","0"
"376","0","0","0"
"396","0.0034216165","0.0034216165","0.0034216165"
"433","-0.0009944538","-0.0009944538","-0.0009944538"
"453","0","0","0"
"490","-0.00006983731","-0.00006983731","-0.00006983731"
"510","0.003406878","0.003406878","0.003406878"
"547","0","0","0"
"567","-0.0015306243","-0.0015306243","-0.0015306243"
"604","-0.0023091359","-0.0023091359","-0.0023091359"
"624","0.0019934739","0.0019934739","0.0019934739"
"661","-0.00020341904","-0.00020341904","-0.00020341904"
"681","-0.0012020431","-0.0012020431","-0.0012020431"
"718","-0.0010567488","-0.0010567488","-0.0010567488"
"738","0","0","0"
"775","0","0","0"
"795","0.00435988","0.00435988","0.00435988"
"832","-0.00075223285","-0.00075223285","-0.00075223285"
"852","-0.0014095852","-0.0014095852","-0.0014095852"
"889","0.00013756155","0.00013756155","0.00013756155"
"909","0.0007840496","0.0007840496","0.0007840496"
"946","0","0","0"
"966","0","0","0"
"1003","0","0","0"
"1023","0","0","0"
"1060","0.00059745007","0.00059745007","0.00059745007"
"1080","0","0","0"
"1117","0.0009774992","0.0009774992","0.0009774992"
"1137","-0.0005557504","-0.0005557504","-0.0005557504"
"1174","0","0","0"
"1194","0.0050741904","0.0050741904","0.0050741904"
"1231","0.00013269132","0.00013269132","0.00013269132"
"1251","0","0","0"
"1288","-0.0031337002","-0.0031337002","-0.0031337002"
"1308","0.0032928772","0.0032928772","0.0032928772"
"1345","-0.000057687164","-0.000057687164","-0.000057687164"
"1365","0.00039027163","0.00039027163","0.00039027163"
"1402","-0.001957764","-0.001957764","-0.001957764"
"1422","0","0","0"
"1459","-0.0005618348","-0.0005618348","-0.0005618348"
"1479","0.0011640667","0.0011640667","0.0011640667"
"1516","-0.0017395666","-0.0017395666","-0.0017395666"
"1536","-0.0004652439","-0.0004652439","-0.0004652439"
"1573","0","0","0"
"1593","-0.000464088","-0.000464088","-0.000464088"
"1630","0","0","0"
"1650","0","0","0"
"1687","-0.0013306827","-0.0013306827","-0.0013306827"
"1707","-0.00074856216","-0.00074856216","-0.00074856216"
"1744","0.0016947751","0.0016947751","0.0016947751"
"1764","0","0","0"
"1801","0","0","0"
"1821","0","0","0"
"1858","0.0010834639","0.0010834639","0.0010834639"
"1878","0","0","0"
"1915","0","0","0"
"1935","-0.000103359336","-0.000103359336","-0.000103359336"
"1972","-0.00027657958","-0.00027657958","-0.00027657958"
"1992","0.0033230165","0.0033230165","0.0033230165"
"2029","0.0023711722","0.0023711722","0.0023711722"
"2049","0.0010760792","0.0010760792","0.0010760792"
"2086","-0.0029788981","-0.0029788981","-0.0029788981"
"2106","0","0","0"
"2143","0.00048286183","0.00048286183","0.00048286183"
"2163","-0.0004967889","-0.0004967889","-0.0004967889"
"2200","0.000086664055","0.000086664055","0.000086664055"
"2220","-0.000025508234","-0.000025508234","-0.000025508234"
"2257","0.00022016697","0.00022016697","0.00022016697"
"2277","0.0015679285","0.0015679285","0.0015679285"
"2314","-0.0014643014","-0.0014643014","-0.0014643014"
"2334","0.0018763901","0.0018763901","0.0018763901"
"2371","0.0014798777","0.0014798777","0.0014798777"
"2391","0","0","0"
"2428","0","0","0"
"2448","0.000038206283","0.000038206283","0.000038206283"
"2485","0","0","0"
"2505","0","0","0"
"2542","0.0002938608","0.0002938608","0.0002938608"
"2562","-0.000055127963","-0.000055127963","-0.000055127963"
"2599","0.0012297331","0.0012297331","0.0012297331"
"2619","0","0","0"
"2656","0","0","0"
"2676","0","0","0"
"2713","0","0","0"
"2733","0","0","0"
"2770","-0.0017538674","-0.0017538674","-0.0017538674"
"2790","0.0005997945","0.0005997945","0.0005997945"
"2827","0.0005109169","0.0005109169","0.0005109169"
"2847","0","0","0"
"2884","0","0","0"
"2904","-0.00017573264","-0.00017573264","-0.00017573264"
"2941","0.0011707346","0.0011707346","0.0011707346"
"2961","-0.0017229118","-0.0017229118","-0.0017229118"
"2998","0","0","0"
"3018","0.00051265117","0.00051265117","0.00051265117"
"3055","0.00020066563","0.00020066563","0.00020066563"
"3075","-0.0013660678","-0.0013660678","-0.0013660678"
"3112","-0.0012571065","-0.0012571065","-0.0012571065"
"3132","0.0013723548","0.0013723548","0.0013723548"
"3169","0.0005282973","0.0005282973","0.0005282973"
"3189","-0.0030957386","-0.0030957386","-0.0030957386"
"3226","0.000486899","0.000486899","0.000486899"
"3246","0","0","0"
"3283","0","0","0"
"3303","0.0016483448","0.0016483448","0.0016483448"
"3340","0.00016101927","0.00016101927","0.00016101927"
"3360","0","0","0"
"3397","0.0005452326","0.0005452326","0.0005452326"
"3417","0.0006083082","0.0006083082","0.0006083082"
"3454","0","0","0"
"3474","-0.00005190208","-0.00005190208","-0.00005190208"
"3511","0.0012769129","0.0012769129","0.0012769129"
"3531","0","0","0"
"3568","-0.001683487","-0.001683487","-0.001683487"
"3588","0.0003391718","0.0003391718","0.0003391718"
"3625","-0.0006140741","-0.0006140741","-0.0006140741"
"3645","-0.00019144262","-0.00019144262","-0.00019144262"
"3682","0.00017471299","0.00017471299","0.00017471299"
"3702","-0.002600756","-0.002600756","-0.002600756"
"3739","0.0015893118","0.0015893118","0.0015893118"
"3759","0.00023191413","0.00023191413","0.00023191413"
"3796","-0.0017505189","-0.0017505189","-0.0017505189"
"3816","0.0034407082","0.0034407082","0.0034407082"
"3853","0.00007118928","0.00007118928","0.00007118928"
"3873","0","0","0"
"3910","-0.00005987255","-0.00005987255","-0.00005987255"
"3930","-0.0024755981","-0.0024755981","-0.0024755981"
"3967","-0.00199643","-0.00199643","-0.00199643"
"3987","0","0","0"
"4024","0","0","0"
"4044","0.000787917","0.000787917","0.000787917"
"4081","0.00010777929","0.00010777929","0.00010777929"
"4101","0.00022485721","0.00022485721","0.00022485721"
"4138","-0.0016945417","-0.0016945417","-0.0016945417"
"4158","0","0","0"
"4195","0","0","0"
"4215","-0.0021558146","-0.0021558146","-0.0021558146"
"4252","0","0","0"
"4272","-0.0010133545","-0.0010133545","-0.0010133545"
"4309","-0.0014671421","-0.0014671421","-0.0014671421"
"4329","0","0","0"
"4366","0.0017961671","0.0017961671","0.0017961671"
"4386","-0.0015627401","-0.0015627401","-0.0015627401"
"4423","-0.0032040172","-0.0032040172","-0.0032040172"
"4443","0","0","0"
"4480","0","0","0"
"4500","0.0021169411","0.0021169411","0.0021169411"
"4537","0","0","0"
"4557","0","0","0"
"4594","-0.00044667156","-0.00044667156","-0.00044667156"
"4614","0.000031771193","0.000031771193","0.000031771193"
"4651","0.0018093213","0.0018093213","0.0018093213"
"4671","0","0","0"
"4708","0","0","0"
"4728","-0.0009906854","-0.0009906854","-0.0009906854"
"4765","0.0032711977","0.0032711977","0.0032711977"
"4785","0","0","0"
"4822","-0.0005599105","-0.0005599105","-0.0005599105"
"4842","0","0","0"
"4879","-0.000970382","-0.000970382","-0.000970382"
"4899","0.0012556881","0.0012556881","0.0012556881"
"4936","-0.001079391","-0.001079391","-0.001079391"
"4956","-0.0010613233","-0.0010613233","-0.0010613233"
"4993","0","0","0"
"5013","0.00052053796","0.00052053796","0.00052053796"
"5050","0.00064340647","0.00064340647","0.00064340647"
"5070","-0.00045447936","-0.00045447936","-0.00045447936"
"5107","0.0032450089","0.0032450089","0.0032450089"
"5127","-0.0001983528","-0.0001983528","-0.0001983528"
"5164","-0.00060498976","-0.00060498976","-0.00060498976"
"5184","-0.004141857","-0.004141857","-0.004141857"
"5221","-0.008151547","-0.008151547","-0.008151547"
"5241","-0.0002770705","-0.0002770705","-0.0002770705"
"5278","-0.00036200983","-0.00036200983","-0.00036200983"
"5298","0","0","0"
"5335","0.002159428","0.002159428","0.002159428"
"5355","-0.0003606762","-0.0003606762","-0.0003606762"
"5392","-0.0005162901","-0.0005162901","-0.0005162901"
"5412","0","0","0"
"5449","0","0","0"
"5469","0.002394371","0.002394371","0.002394371"
"5506","0","0","0"
"5526","0.0010185925","0.0010185925","0.0010185925"
"5563","0.00045177332","0.00045177332","0.00045177332"
"5583","0","0","0"
"5620","0.00012485983","0.00012485983","0.00012485983"
"5640","0","0","0"
"5677","0","0","0"
"5697","-0.0034132723","-0.0034132723","-0.0034132723"
"5734","0.0025389837","0.0025389837","0.0025389837"
"5754","0","0","0"
"5791","-0.00040305904","-0.00040305904","-0.00040305904"
"5811","-0.0032291105","-0.0032291105","-0.0032291105"
"5848","0","0","0"
"5868","-0.0001831321","-0.0001831321","-0.0001831321"
"5905","0","0","0"
"5925","-0.0019346402","-0.0019346402","-0.0019346402"
"5962","0","0","0"
"5982","0.00075655174","0.00075655174","0.00075655174"
"6019","-0.000026036978","-0.000026036978","-0.000026036978"
"6039","-0.00074983813","-0.00074983813","-0.00074983813"
"6076","0.0006630516","0.0006630516","0.0006630516"
"6096","0","0","0"
"6133","0","0","0"
"6153","0","0","0"
"6190","-0.0008054289","-0.0008054289","-0.0008054289"
"6210","0","0","0"
"6247","0","0","0"
"6267","0","0","0"
"6304","-0.0021110948","-0.0021110948","-0.0021110948"
"6324","-0.00012073534","-0.00012073534","-0.00012073534"
"6361","0","0","0"
"6381","0","0","0"
"6418","0","0","0"
"6438","0","0","0"
"6475","0.00030291564","0.00030291564","0.00030291564"
"6495","-0.004090954","-0.004090954","-0.004090954"
"6532","0","0","0"
"6552","0","0","0"
"6589","0","0","0"
"6609","-0.0009176437","-0.0009176437","-0.0009176437"
"6646","0.0020338742","0.0020338742","0.0020338742"
"6666","0.002356128","0.002356128","0.002356128"
"6703","0","0","0"
"6723","0.0010640763","0.0010640763","0.0010640763"
"6760","0.002139321","0.002139321","0.002139321"
"6780","0","0","0"
"6817","0","0","0"
"6837","-0.001716297","-0.001716297","-0.001716297"
"6874","-0.0021473935","-0.0021473935","-0.0021473935"
"6894","0.00034213674","0.00034213674","0.00034213674"
"6931","0.0044065793","0.0044065793","0.0044065793"
"6951","0.00042633744","0.00042633744","0.00042633744"
"6988","-0.0002802841","-0.0002802841","-0.0002802841"
"7008","-0.00073610595","-0.00073610595","-0.00073610595"
"7045","-0.0012804697","-0.0012804697","-0.0012804697"
"7065","0","0","0"
"7102","-0.00090370193","-0.00090370193","-0.00090370193"
"7122","0.0026081712","0.0026081712","0.0026081712"
"7159","0.001105373","0.001105373","0.001105373"
"7179","0.0000066771795","0.0000066771795","0.0000066771795"
"7216","-0.0005149516","-0.0005149516","-0.0005149516"
"7236","0","0","0"
"7273","0.00010650911","0.00010650911","0.00010650911"
"7293","-0.00028382344","-0.00028382344","-0.00028382344"
"7330","0","0","0"
"7350","-0.0004601669","-0.0004601669","-0.0004601669"
"7387","0.0063781347","0.0063781347","0.0063781347"
"7407","0.0026648026","0.0026648026","0.0026648026"
"7444","0","0","0"
"7464","0","0","0"
"7501","-0.0011623206","-0.0011623206","-0.0011623206"
"7521","0.0014764889","0.0014764889","0.0014764889"
"7558","0.000049529877","0.000049529877","0.000049529877"
"7578","-0.0002815343","-0.0002815343","-0.0002815343"
"7615","-0.002028743","-0.002028743","-0.002028743"
"7635","0","0","0"
"7672","0.00054221397","0.00054221397","0.00054221397"
"7692","-0.0009876617","-0.0009876617","-0.0009876617"
"7729","-0.00036542065","-0.00036542065","-0.00036542065"
"7749","0.0007313995","0.0007313995","0.0007313995"
"7786","0","0","0"
"7806","0.0006062223","0.0006062223","0.0006062223"
"7843","0","0","0"
"7863","0","0","0"
"7900","0.0004366326","0.0004366326","0.0004366326"
"7920","0.000551591","0.000551591","0.000551591"
"7957","-0.00034478636","-0.00034478636","-0.00034478636"
"7977","0.00245237","0.00245237","0.00245237"
"8014","-0.00037795326","-0.00037795326","-0.00037795326"
"8034","0.0010199787","0.0010199787","0.0010199787"
"8071","0","0","0"
"8091","0","0","0"
"8128","0.000108217326","0.000108217326","0.000108217326"
"8148","0.003006578","0.003006578","0.003006578"
"8185","-0.002095002","-0.002095002","-0.002095002"
"8205","0","0","0"
"8242","-0.00074884616","-0.00074884616","-0.00074884616"
"8262","0.00088387716","0.00088387716","0.00088387716"
"8299","-0.0000025306051","-0.0000025306051","-0.0000025306051"
"8319","0.000705708","0.000705708","0.000705708"
"8356","-0.00020255682","-0.00020255682","-0.00020255682"
"8376","-0.0012256391","-0.0012256391","-0.0012256391"
"8413","0.00020548995","0.00020548995","0.00020548995"
"8433","0.00014071306","0.00014071306","0.00014071306"
"8470","-0.0001641522","-0.0001641522","-0.0001641522"
"8490","-0.0024885095","-0.0024885095","-0.0024885095"
"8527","0","0","0"
"8547","-0.0013341053","-0.0013341053","-0.0013341053"
"8584","0","0","0"
"8604","0","0","0"
"8641","0","0","0"
"8661","0.00079506123","0.00079506123","0.00079506123"
"8698","0","0","0"
"8718","0.0006141954","0.0006141954","0.0006141954"
"8755","0","0","0"
"8775","0","0","0"
"8812","0","0","0"
"8832","0.0029161053","0.0029161053","0.0029161053"
"8869","0","0","0"
"8889","0","0","0"
"8926","0","0","0"
"8946","0.0009741159","0.0009741159","0.0009741159"
"8983","0","0","0"
"9003","-0.0030965763","-0.0030965763","-0.0030965763"
"9040","0","0","0"
"9060","0","0","0"
"9097","-0.002032948","-0.002032948","-0.002032948"
"9117","-0.0026552265","-0.0026552265","-0.0026552265"
"9154","-0.0034079005","-0.0034079005","-0.0034079005"
"9174","0.0006922264","0.0006922264","0.0006922264"
"9211","-0.0002403976","-0.0002403976","-0.0002403976"
"9231","-0.0011709187","-0.0011709187","-0.0011709187"
"9268","0.0013350977","0.0013350977","0.0013350977"
"9288","0","0","0"
"9325","0","0","0"
"9345","0","0","0"
"9382","-0.0015445765","-0.0015445765","-0.0015445765"
"9402","0.0023455843","0.0023455843","0.0023455843"
"9439","0","0","0"
"9459","0","0","0"
"9496","0","0","0"
"9516","-0.000027149536","-0.000027149536","-0.000027149536"
"9553","-0.0038621624","-0.0038621624","-0.0038621624"
"9573","0.00027912555","0.00027912555","0.00027912555"
"9610","0","0","0"
"9630","0.00024674114","0.00024674114","0.00024674114"
"9667","0.0011246096","0.0011246096","0.0011246096"
"9687","0","0","0"
"9724","0","0","0"
"9744","0","0","0"
"9781","0","0","0"
"9801","0.00025756645","0.00025756645","0.00025756645"
"9838","0.00018467668","0.00018467668","0.00018467668"
"9858","0.0017099796","0.0017099796","0.0017099796"
"9895","-0.0014492254","-0.0014492254","-0.0014492254"
"9915","0","0","0"
"9952","-0.0018534575","-0.0018534575","-0.0018534575"
"9972","0.0029560805","0.0029560805","0.0029560805"
"10009","0.0011407834","0.0011407834","0.0011407834"
"10029","0","0","0"
"10066","0","0","0"
"10086","0.0003695089","0.0003695089","0.0003695089"
"10123","-0.0030365952","-0.0030365952","-0.0030365952"
"10143","0","0","0"
"10180","0.0032125365","0.0032125365","0.0032125365"
"10200","0.0026215287","0.0026215287","0.0026215287"
"10237","-0.0007168866","-0.0007168866","-0.0007168866"
"10257","-0.0003914152","-0.0003914152","-0.0003914152"
"10294","0","0","0"
"10314","0","0","0"
"10351","-0.0009316897","-0.0009316897","-0.0009316897"
"10371","-0.0013201609","-0.0013201609","-0.0013201609"
"10408","-0.0010558806","-0.0010558806","-0.0010558806"
"10428","0.00022630986","0.00022630986","0.00022630986"
"10465","0.00066737755","0.00066737755","0.00066737755"
"10485","0.00046480127","0.00046480127","0.00046480127"
"10522","0.001219783","0.001219783","0.001219783"
"10542","-0.0006144093","-0.0006144093","-0.0006144093"
"10579","0.0025772653","0.0025772653","0.0025772653"
"10599","-0.00015125885","-0.00015125885","-0.00015125885"
"10636","0.0006095714","0.0006095714","0.0006095714"
"10656","0","0","0"
"10693","0","0","0"
"10713","-0.0014334888","-0.0014334888","-0.0014334888"
"10750","0","0","0"
"10770","0.00061202876","0.00061202876","0.00061202876"
"10807","0.0014623643","0.0014623643","0.0014623643"
"10827","0","0","0"
"10864","0.0007281945","0.0007281945","0.0007281945"
"10884","-0.000602839","-0.000602839","-0.000602839"
"10921","0","0","0"
"10941","-0.0012225955","-0.0012225955","-0.0012225955"
"10978","0","0","0"
"10998","0","0","0"
"11035","0.0003697904","0.0003697904","0.0003697904"
"11055","-0.0011785254","-0.0011785254","-0.0011785254"
"11092","0","0","0"
"11112","-0.0017033643","-0.0017033643","-0.0017033643"
"11149","0.0002710218","0.0002710218","0.0002710218"
"11169","0","0","0"
"11206","0","0","0"
"11226","-0.00063646154","-0.00063646154","-0.00063646154"
"11263","0.0016461851","0.0016461851","0.0016461851"
"11283","-0.00013820926","-0.00013820926","-0.00013820926"
"11320","0.0006330885","0.0006330885","0.0006330885"
"11340","0","0","0"
"11377","0.00066817115","0.00066817115","0.00066817115"
"11397","0.0029940815","0.0029940815","0.0029940815"
"11434","-0.0003920744","-0.0003920744","-0.0003920744"
"11454","0","0","0"
"11491","-0.0017112073","-0.0017112073","-0.0017112073"
"11511","-0.000074022515","-0.000074022515","-0.000074022515"
"11548","-0.0013018175","-0.0013018175","-0.0013018175"
"11568","-0.004806303","-0.004806303","-0.004806303"
"11605","0.0002589957","0.0002589957","0.0002589957"
"11625","0.001327099","0.001327099","0.001327099"
"11662","-0.00019328496","-0.00019328496","-0.00019328496"
"11682","0.0034735946","0.0034735946","0.0034735946"
"11719","0","0","0"
"11739","0.0016654105","0.0016654105","0.0016654105"
"11776","0","0","0"
"11796","0.000760953","0.000760953","0.000760953"
"11833","-0.0011724473","-0.0011724473","-0.0011724473"
"11853","0.00039698297","0.00039698297","0.00039698297"
"11890","0.0018421195","0.0018421195","0.0018421195"
"11910","-0.00017827383","-0.00017827383","-0.00017827383"
"11947","-0.0011416918","-0.0011416918","-0.0011416918"
"11967","0","0","0"
"12004","-0.00031130464","-0.00031130464","-0.00031130464"
"12024","-0.00017783683","-0.00017783683","-0.00017783683"
"12061","0.00041399282","0.00041399282","0.00041399282"
"12081","0.0038104157","0.0038104157","0.0038104157"
"12118","0.00024384333","0.00024384333","0.00024384333"
"12138","0.0020600797","0.0020600797","0.0020600797"
"12175","-0.0014489206","-0.0014489206","-0.0014489206"
"12195","0","0","0"
"12232","0","0","0"
"12252","0.00090188434","0.00090188434","0.00090188434"
"12289","-0.001957899","-0.001957899","-0.001957899"
"12309","0","0","0"
"12346","0.0034649952","0.0034649952","0.0034649952"
"12366","-0.00020728733","-0.00020728733","-0.00020728733"
"12403","-0.0018046029","-0.0018046029","-0.0018046029"
"12423","-0.000036089248","-0.000036089248","-0.000036089248"
"12460","-0.000052044183","-0.000052044183","-0.000052044183"
"12480","-0.0012291055","-0.0012291055","-0.0012291055"
"12517","0.0007396008","0.0007396008","0.0007396008"
"12537","0","0","0"
"12574","0","0","0"
"12594","0.00034056653","0.00034056653","0.00034056653"
"12631","-0.0037006342","-0.0037006342","-0.0037006342"
"12651","-0.00022870538","-0.00022870538","-0.00022870538"
"12688","0","0","0"
"12708","0.00019201347","0.00019201347","0.00019201347"
"12745","0","0","0"
"12765","-0.0007472348","-0.0007472348","-0.0007472348"
"12802","-0.00029198488","-0.00029198488","-0.00029198488"
"12822","-0.0014720979","-0.0014720979","-0.0014720979"
"12859","0","0","0"
"12879","0","0","0"
"12916","0.0009936126","0.0009936126","0.0009936126"
"12936","-0.00090646907","-0.00090646907","-0.00090646907"
"12973","0.0018293882","0.0018293882","0.0018293882"
"12993","0","0","0"
"13030","0.0003780645","0.0003780645","0.0003780645"
"13050","0.0011431179","0.0011431179","0.0011431179"
"13087","-0.0012009287","-0.0012009287","-0.0012009287"
"13107","0.00010695615","0.00010695615","0.00010695615"
"13144","0.0049397433","0.0049397433","0.0049397433"
"13164","-0.0012199397","-0.0012199397","-0.0012199397"
"13201","-0.00041205695","-0.00041205695","-0.00041205695"
"13221","0.002486931","0.002486931","0.002486931"
"13258","0.00032356704","0.00032356704","0.00032356704"
"13278","0.00049002765","0.00049002765","0.00049002765"
"13315","-0.0012011776","-0.0012011776","-0.0012011776"
"13335","0.0023527304","0.0023527304","0.0023527304"
"13372","0.0016040534","0.0016040534","0.0016040534"
"13392","-0.003039314","-0.003039314","-0.003039314"
"13429","0.0018558226","0.0018558226","0.0018558226"
"13449","0.0020229868","0.0020229868","0.0020229868"
"13486","0","0","0"
"13506","-0.0004525233","-0.0004525233","-0.0004525233"
"13543","-0.0012653654","-0.0012653654","-0.0012653654"
"13563","0.0010172299","0.0010172299","0.0010172299"
"13600","-0.0009851457","-0.0009851457","-0.0009851457"
"13620","0.0018956078","0.0018956078","0.0018956078"
"13657","0.0014198787","0.0014198787","0.0014198787"
"13677","0.0005491143","0.0005491143","0.0005491143"
"13714","0","0","0"
"13734","-0.0034409421","-0.0034409421","-0.0034409421"
"13771","0","0","0"
"13791","-0.0015520096","-0.0015520096","-0.0015520096"
"13828","-0.000094963885","-0.000094963885","-0.000094963885"
"13848","-0.0019423551","-0.0019423551","-0.0019423551"
"13885","-0.00070714875","-0.00070714875","-0.00070714875"
"13905","-0.0030789254","-0.0030789254","-0.0030789254"
"13942","0.000082699466","0.000082699466","0.000082699466"
"13962","0.00046505322","0.00046505322","0.00046505322"
"13999","0","0","0"
"14019","0.0004945052","0.0004945052","0.0004945052"
"14056","0.0016824419","0.0016824419","0.0016824419"
"14076","0","0","0"
"14113","-0.0014331255","-0.0014331255","-0.0014331255"
"14133","0.0037192255","0.0037192255","0.0037192255"
"14170","-0.0052305325","-0.0052305325","-0.0052305325"
"14190","-0.0058393297","-0.0058393297","-0.0058393297"
"14227","-0.00021389144","-0.00021389144","-0.00021389144"
"14247","-0.0014422103","-0.0014422103","-0.0014422103"
"14284","0","0","0"
"14304","0.00093332457","0.00093332457","0.00093332457"
"14341","0.0018619152","0.0018619152","0.0018619152"
"14361","0.0005972258","0.0005972258","0.0005972258"
"14398","0.0059265327","0.0059265327","0.0059265327"
"14418","0.00036217232","0.00036217232","0.00036217232"
"14455","-0.00009901104","-0.00009901104","-0.00009901104"
"14475","0.00020044648","0.00020044648","0.00020044648"
"14512","-0.00011543793","-0.00011543793","-0.00011543793"
"14532","-0.0031110088","-0.0031110088","-0.0031110088"
"14569","0","0","0"
"14589","0","0","0"