"Step","Feb25_18-22-37_trpo_rover_TRPO - Reward / Total reward (mean)","Feb25_18-22-37_trpo_rover_TRPO - Reward / Total reward (mean)__MIN","Feb25_18-22-37_trpo_rover_TRPO - Reward / Total reward (mean)__MAX"
"13","-0.594873","-0.594873","-0.594873"
"30","-0.5909786","-0.5909786","-0.5909786"
"51","1.0266433","1.0266433","1.0266433"
"64","1.4832511","1.4832511","1.4832511"
"89","0.93115145","0.93115145","0.93115145"
"110","1.419745","1.419745","1.419745"
"131","1.4326978","1.4326978","1.4326978"
"140","0.86297953","0.86297953","0.86297953"
"161","1.1700251","1.1700251","1.1700251"
"182","1.5078504","1.5078504","1.5078504"
"207","1.5002657","1.5002657","1.5002657"
"228","1.5089597","1.5089597","1.5089597"
"249","1.6195388","1.6195388","1.6195388"
"258","1.4557525","1.4557525","1.4557525"
"279","1.053363","1.053363","1.053363"
"300","1.2110343","1.2110343","1.2110343"
"317","1.4496971","1.4496971","1.4496971"
"338","1.300892","1.300892","1.300892"
"359","1.2563593","1.2563593","1.2563593"
"384","1.0874176","1.0874176","1.0874176"
"397","1.287347","1.287347","1.287347"
"418","1.3486602","1.3486602","1.3486602"
"435","1.6057545","1.6057545","1.6057545"
"464","1.6084806","1.6084806","1.6084806"
"485","0.80858","0.80858","0.80858"
"494","1.0721322","1.0721322","1.0721322"
"523","1.3559732","1.3559732","1.3559732"
"536","1.3747015","1.3747015","1.3747015"
"561","1.4212557","1.4212557","1.4212557"
"582","1.3797088","1.3797088","1.3797088"
"603","0.994707","0.994707","0.994707"
"612","1.2224205","1.2224205","1.2224205"
"641","1.2438749","1.2438749","1.2438749"
"662","1.4173566","1.4173566","1.4173566"
"671","1.2320344","1.2320344","1.2320344"
"692","1.2009493","1.2009493","1.2009493"
"713","1.3739074","1.3739074","1.3739074"
"730","1.0715255","1.0715255","1.0715255"
"759","1.331266","1.331266","1.331266"
"780","0.70058095","0.70058095","0.70058095"
"789","0.9983641","0.9983641","0.9983641"
"810","1.224967","1.224967","1.224967"
"831","0.9484961","0.9484961","0.9484961"
"848","1.3381559","1.3381559","1.3381559"
"869","1.4910524","1.4910524","1.4910524"
"898","1.2249496","1.2249496","1.2249496"
"907","1.3386917","1.3386917","1.3386917"
"928","1.257788","1.257788","1.257788"
"957","1.0688778","1.0688778","1.0688778"
"966","0.9604929","0.9604929","0.9604929"
"995","1.4130387","1.4130387","1.4130387"
"1008","1.4905791","1.4905791","1.4905791"
"1033","1.5357583","1.5357583","1.5357583"
"1054","1.5126052","1.5126052","1.5126052"
"1075","1.4990946","1.4990946","1.4990946"
"1084","1.3833997","1.3833997","1.3833997"
"1113","1.2145119","1.2145119","1.2145119"
"1134","0.74702144","0.74702144","0.74702144"
"1143","1.5308","1.5308","1.5308"
"1164","1.391808","1.391808","1.391808"
"1185","0.91365105","0.91365105","0.91365105"
"1210","1.3610276","1.3610276","1.3610276"
"1223","0.9701773","0.9701773","0.9701773"
"1252","1.2677813","1.2677813","1.2677813"
"1261","0.9101394","0.9101394","0.9101394"
"1282","1.1944854","1.1944854","1.1944854"
"1311","1.2116066","1.2116066","1.2116066"
"1320","1.0650753","1.0650753","1.0650753"
"1341","1.2125527","1.2125527","1.2125527"
"1362","1.1365422","1.1365422","1.1365422"
"1387","1.1950899","1.1950899","1.1950899"
"1408","1.4776891","1.4776891","1.4776891"
"1429","1.2907891","1.2907891","1.2907891"
"1438","0.9988523","0.9988523","0.9988523"
"1467","1.6529629","1.6529629","1.6529629"
"1488","1.4510356","1.4510356","1.4510356"
"1497","1.2195485","1.2195485","1.2195485"
"1526","1.3054153","1.3054153","1.3054153"
"1539","1.0481013","1.0481013","1.0481013"
"1556","1.160431","1.160431","1.160431"
"1577","1.2927482","1.2927482","1.2927482"
"1598","1.2799395","1.2799395","1.2799395"
"1623","1.5143474","1.5143474","1.5143474"
"1636","1.2017279","1.2017279","1.2017279"
"1657","1.2457774","1.2457774","1.2457774"
"1674","1.3134688","1.3134688","1.3134688"
"1703","1.5076407","1.5076407","1.5076407"
"1724","1.170842","1.170842","1.170842"
"1733","1.2435269","1.2435269","1.2435269"
"1754","1.2359196","1.2359196","1.2359196"
"1783","0.9967056","0.9967056","0.9967056"
"1792","1.4657816","1.4657816","1.4657816"
"1821","1.2792007","1.2792007","1.2792007"
"1834","1.340982","1.340982","1.340982"
"1851","0.9764672","0.9764672","0.9764672"
"1872","1.2516525","1.2516525","1.2516525"
"1893","1.593051","1.593051","1.593051"
"1910","1.4537245","1.4537245","1.4537245"
"1931","1.4018253","1.4018253","1.4018253"
"1952","1.617937","1.617937","1.617937"
"1977","1.2352647","1.2352647","1.2352647"
"1990","1.5818444","1.5818444","1.5818444"
"2019","1.5359434","1.5359434","1.5359434"
"2028","1.4918187","1.4918187","1.4918187"
"2049","1.1834888","1.1834888","1.1834888"
"2070","1.0812091","1.0812091","1.0812091"
"2087","1.2714486","1.2714486","1.2714486"
"2108","1.0278671","1.0278671","1.0278671"
"2129","1.1096857","1.1096857","1.1096857"
"2154","1.5310918","1.5310918","1.5310918"
"2167","1.0230552","1.0230552","1.0230552"
"2188","0.8513656","0.8513656","0.8513656"
"2213","0.9681046","0.9681046","0.9681046"
"2226","1.1797631","1.1797631","1.1797631"
"2247","1.2238119","1.2238119","1.2238119"
"2272","1.1460515","1.1460515","1.1460515"
"2285","1.3712026","1.3712026","1.3712026"
"2306","1.1148131","1.1148131","1.1148131"
"2323","1.6834168","1.6834168","1.6834168"
"2344","1.1506959","1.1506959","1.1506959"
"2373","1.0142977","1.0142977","1.0142977"
"2382","1.20908","1.20908","1.20908"
"2411","1.0008463","1.0008463","1.0008463"
"2432","1.4149029","1.4149029","1.4149029"
"2441","1.3421887","1.3421887","1.3421887"
"2470","1.515518","1.515518","1.515518"
"2491","1.5159588","1.5159588","1.5159588"
"2508","1.302456","1.302456","1.302456"
"2521","1.5010072","1.5010072","1.5010072"
"2550","1.3091536","1.3091536","1.3091536"
"2567","1.2711838","1.2711838","1.2711838"
"2580","1.5375335","1.5375335","1.5375335"
"2601","0.7918113","0.7918113","0.7918113"
"2618","1.5387447","1.5387447","1.5387447"
"2647","1.4952103","1.4952103","1.4952103"
"2660","1.0483137","1.0483137","1.0483137"
"2677","1.2420363","1.2420363","1.2420363"
"2698","0.9765692","0.9765692","0.9765692"
"2719","0.7071777","0.7071777","0.7071777"
"2736","1.2551564","1.2551564","1.2551564"
"2765","1.0902382","1.0902382","1.0902382"
"2778","1.5792902","1.5792902","1.5792902"
"2803","1.3472266","1.3472266","1.3472266"
"2816","1.1117796","1.1117796","1.1117796"
"2837","1.0607944","1.0607944","1.0607944"
"2854","1.2011791","1.2011791","1.2011791"
"2883","1.4617233","1.4617233","1.4617233"
"2896","1.0843198","1.0843198","1.0843198"
"2913","1.4845951","1.4845951","1.4845951"
"2942","1.4471279","1.4471279","1.4471279"
"2955","1.4887297","1.4887297","1.4887297"
"2972","1.2224842","1.2224842","1.2224842"
"3001","1.2372019","1.2372019","1.2372019"
"3014","1.1178228","1.1178228","1.1178228"
"3039","1.4170946","1.4170946","1.4170946"
"3052","1.2687213","1.2687213","1.2687213"
"3073","1.3544984","1.3544984","1.3544984"
"3098","1.098287","1.098287","1.098287"
"3111","1.6212554","1.6212554","1.6212554"
"3140","1.3509082","1.3509082","1.3509082"
"3149","1.6900243","1.6900243","1.6900243"
"3170","1.4380248","1.4380248","1.4380248"
"3191","1.5584327","1.5584327","1.5584327"
"3208","1.4868181","1.4868181","1.4868181"
"3229","1.5390503","1.5390503","1.5390503"
"3250","1.2991898","1.2991898","1.2991898"
"3267","1.3490617","1.3490617","1.3490617"
"3288","1.0972866","1.0972866","1.0972866"
"3317","0.87363696","0.87363696","0.87363696"
"3334","1.5116959","1.5116959","1.5116959"
"3347","1.0482792","1.0482792","1.0482792"
"3368","1.2305926","1.2305926","1.2305926"
"3385","1.4638449","1.4638449","1.4638449"
"3414","0.9499338","0.9499338","0.9499338"
"3435","1.5848728","1.5848728","1.5848728"
"3444","1.3918899","1.3918899","1.3918899"
"3465","1.4078487","1.4078487","1.4078487"
"3486","1.4512722","1.4512722","1.4512722"
"3511","1.5837424","1.5837424","1.5837424"
"3524","1.2287029","1.2287029","1.2287029"
"3545","1.3912903","1.3912903","1.3912903"
"3570","0.7453966","0.7453966","0.7453966"
"3583","1.3187792","1.3187792","1.3187792"
"3604","1.2564241","1.2564241","1.2564241"
"3629","1.3815048","1.3815048","1.3815048"
"3642","1.3231553","1.3231553","1.3231553"
"3663","1.1774367","1.1774367","1.1774367"
"3680","1.1601338","1.1601338","1.1601338"
"3709","1.4665751","1.4665751","1.4665751"
"3722","1.438787","1.438787","1.438787"
"3739","1.5503856","1.5503856","1.5503856"
"3768","1.1433645","1.1433645","1.1433645"
"3781","1.5281295","1.5281295","1.5281295"
"3806","1.5408967","1.5408967","1.5408967"
"3827","1.1702163","1.1702163","1.1702163"
"3848","1.6531184","1.6531184","1.6531184"
"3857","1.4047128","1.4047128","1.4047128"
"3886","1.4542496","1.4542496","1.4542496"
"3899","1.3562528","1.3562528","1.3562528"
"3916","1.3652626","1.3652626","1.3652626"
"3937","1.5685276","1.5685276","1.5685276"
"3958","1.3778197","1.3778197","1.3778197"
"3975","1.5821745","1.5821745","1.5821745"
"3996","1.2621826","1.2621826","1.2621826"
"4025","1.1550977","1.1550977","1.1550977"
"4034","1.1244218","1.1244218","1.1244218"
"4055","1.4791611","1.4791611","1.4791611"
"4076","1.0099546","1.0099546","1.0099546"
"4093","0.7977758","0.7977758","0.7977758"
"4122","1.4057608","1.4057608","1.4057608"
"4135","0.81797653","0.81797653","0.81797653"
"4160","1.4470278","1.4470278","1.4470278"
"4181","0.74798226","0.74798226","0.74798226"
"4194","0.7920383","0.7920383","0.7920383"
"4211","1.3665092","1.3665092","1.3665092"
"4232","1.3600236","1.3600236","1.3600236"
"4261","1.2502713","1.2502713","1.2502713"
"4270","1.6162392","1.6162392","1.6162392"
"4299","1.4242153","1.4242153","1.4242153"
"4320","1.1721361","1.1721361","1.1721361"
"4337","1.4182197","1.4182197","1.4182197"
"4350","1.1369858","1.1369858","1.1369858"
"4371","1.4800137","1.4800137","1.4800137"
"4396","1.36034","1.36034","1.36034"
"4409","1.262244","1.262244","1.262244"
"4438","0.9232164","0.9232164","0.9232164"
"4447","1.4202999","1.4202999","1.4202999"
"4468","1.0878936","1.0878936","1.0878936"
"4497","1.1746742","1.1746742","1.1746742"
"4514","1.2856358","1.2856358","1.2856358"
"4535","0.70697814","0.70697814","0.70697814"
"4548","1.3489884","1.3489884","1.3489884"
"4565","1.37937","1.37937","1.37937"
"4586","1.0837562","1.0837562","1.0837562"
"4607","1.3003697","1.3003697","1.3003697"
"4624","1.4963397","1.4963397","1.4963397"
"4645","1.2042004","1.2042004","1.2042004"
"4666","1.2623454","1.2623454","1.2623454"
"4691","1.3060702","1.3060702","1.3060702"
"4704","1.4680688","1.4680688","1.4680688"
"4725","1.4827913","1.4827913","1.4827913"
"4750","1.4872898","1.4872898","1.4872898"
"4771","1.6058472","1.6058472","1.6058472"
"4784","0.70909333","0.70909333","0.70909333"
"4801","1.3748002","1.3748002","1.3748002"
"4830","1.3172895","1.3172895","1.3172895"
"4843","1.3728452","1.3728452","1.3728452"
"4860","1.1788298","1.1788298","1.1788298"
"4881","1.4049873","1.4049873","1.4049873"
"4910","0.84007776","0.84007776","0.84007776"
"4927","1.2869968","1.2869968","1.2869968"
"4940","1.6321083","1.6321083","1.6321083"
"4969","1.371064","1.371064","1.371064"
"4986","1.2077401","1.2077401","1.2077401"
"5007","1.5576277","1.5576277","1.5576277"
"5020","1.0711851","1.0711851","1.0711851"
"5037","1.0047451","1.0047451","1.0047451"
"5066","1.6063068","1.6063068","1.6063068"
"5087","0.81852823","0.81852823","0.81852823"
"5096","1.2973415","1.2973415","1.2973415"
"5125","1.0837076","1.0837076","1.0837076"
"5146","0.9637857","0.9637857","0.9637857"
"5163","1.4457158","1.4457158","1.4457158"
"5176","1.0510135","1.0510135","1.0510135"
"5197","1.1055671","1.1055671","1.1055671"
"5222","0.88959336","0.88959336","0.88959336"
"5235","1.4818718","1.4818718","1.4818718"
"5256","1.1898953","1.1898953","1.1898953"
"5281","1.2540122","1.2540122","1.2540122"
"5302","1.4840916","1.4840916","1.4840916"
"5323","1.3245219","1.3245219","1.3245219"
"5332","0.534536","0.534536","0.534536"
"5353","1.4284397","1.4284397","1.4284397"
"5382","1.0885473","1.0885473","1.0885473"
"5391","1.2228665","1.2228665","1.2228665"
"5420","1.1603111","1.1603111","1.1603111"
"5441","1.4612775","1.4612775","1.4612775"
"5450","1.2956158","1.2956158","1.2956158"
"5471","1.606298","1.606298","1.606298"
"5492","1.3484842","1.3484842","1.3484842"
"5509","0.7683458","0.7683458","0.7683458"
"5530","1.6083485","1.6083485","1.6083485"
"5551","1.5281355","1.5281355","1.5281355"
"5576","1.2036713","1.2036713","1.2036713"
"5597","1.0725716","1.0725716","1.0725716"
"5610","1.2791338","1.2791338","1.2791338"
"5627","1.5184827","1.5184827","1.5184827"
"5656","1.4102981","1.4102981","1.4102981"
"5669","0.9924832","0.9924832","0.9924832"
"5694","1.027725","1.027725","1.027725"
"5707","1.4836962","1.4836962","1.4836962"
"5728","1.2042955","1.2042955","1.2042955"
"5745","1.0389819","1.0389819","1.0389819"
"5766","1.6625123","1.6625123","1.6625123"
"5787","1.607417","1.607417","1.607417"
"5804","1.0933931","1.0933931","1.0933931"
"5825","1.2993674","1.2993674","1.2993674"
"5846","1.2406875","1.2406875","1.2406875"
"5871","1.2586377","1.2586377","1.2586377"
"5892","1.5023835","1.5023835","1.5023835"
"5913","1.1319133","1.1319133","1.1319133"
"5922","1.7384526","1.7384526","1.7384526"
"5951","1.3368545","1.3368545","1.3368545"
"5972","1.230284","1.230284","1.230284"
"5981","1.3793857","1.3793857","1.3793857"
"6010","1.434832","1.434832","1.434832"
"6023","1.2510657","1.2510657","1.2510657"
"6048","1.6305791","1.6305791","1.6305791"
"6061","1.6417512","1.6417512","1.6417512"
"6090","1.1591136","1.1591136","1.1591136"
"6107","1.07664","1.07664","1.07664"
"6128","0.9047175","0.9047175","0.9047175"
"6141","1.0769699","1.0769699","1.0769699"
"6158","0.8861254","0.8861254","0.8861254"
"6187","1.0578043","1.0578043","1.0578043"
"6200","1.5293206","1.5293206","1.5293206"
"6225","1.6104993","1.6104993","1.6104993"
"6238","1.1583213","1.1583213","1.1583213"
"6267","1.1982813","1.1982813","1.1982813"
"6276","1.0970693","1.0970693","1.0970693"
"6297","1.3553711","1.3553711","1.3553711"
"6318","1.5638812","1.5638812","1.5638812"
"6343","1.068536","1.068536","1.068536"
"6364","1.4967996","1.4967996","1.4967996"
"6385","1.1849495","1.1849495","1.1849495"
"6394","1.3116653","1.3116653","1.3116653"
"6415","1.6475085","1.6475085","1.6475085"
"6436","1.5070026","1.5070026","1.5070026"
"6453","1.0525604","1.0525604","1.0525604"
"6482","1.6151519","1.6151519","1.6151519"
"6503","0.9468647","0.9468647","0.9468647"
"6512","1.4573324","1.4573324","1.4573324"
"6541","1.4903767","1.4903767","1.4903767"
"6554","1.497019","1.497019","1.497019"
"6579","0.9725242","0.9725242","0.9725242"
"6592","1.3656821","1.3656821","1.3656821"
"6613","1.190193","1.190193","1.190193"
"6638","1.0822446","1.0822446","1.0822446"
"6659","1.1745528","1.1745528","1.1745528"
"6672","0.8393213","0.8393213","0.8393213"
"6697","1.3666897","1.3666897","1.3666897"
"6718","1.1919346","1.1919346","1.1919346"
"6731","1.2666931","1.2666931","1.2666931"
"6756","1.6024014","1.6024014","1.6024014"
"6769","1.5871732","1.5871732","1.5871732"
"6790","1.600792","1.600792","1.600792"
"6807","1.1877462","1.1877462","1.1877462"
"6828","1.4130294","1.4130294","1.4130294"
"6857","1.5138597","1.5138597","1.5138597"
"6874","1.4088901","1.4088901","1.4088901"
"6895","1.468716","1.468716","1.468716"
"6916","1.3686577","1.3686577","1.3686577"
"6925","1.1329442","1.1329442","1.1329442"
"6954","1.55657","1.55657","1.55657"
"6975","1.0507073","1.0507073","1.0507073"
"6984","1.1988887","1.1988887","1.1988887"
"7013","1.4528056","1.4528056","1.4528056"
"7026","1.277973","1.277973","1.277973"
"7051","1.627676","1.627676","1.627676"
"7072","1.4186462","1.4186462","1.4186462"
"7085","1.3989141","1.3989141","1.3989141"
"7102","1.437265","1.437265","1.437265"
"7131","1.3823603","1.3823603","1.3823603"
"7152","1.3415095","1.3415095","1.3415095"
"7161","1.5343672","1.5343672","1.5343672"
"7190","1.4555695","1.4555695","1.4555695"
"7211","1.2980348","1.2980348","1.2980348"
"7220","0.8376433","0.8376433","0.8376433"
"7241","1.5992321","1.5992321","1.5992321"
"7262","1.4204842","1.4204842","1.4204842"
"7287","1.3582923","1.3582923","1.3582923"
"7300","1.3725623","1.3725623","1.3725623"
"7321","1.5282717","1.5282717","1.5282717"
"7338","1.3779105","1.3779105","1.3779105"
"7367","1.4472692","1.4472692","1.4472692"
"7380","0.99127525","0.99127525","0.99127525"
"7405","1.2532876","1.2532876","1.2532876"
"7418","1.3964524","1.3964524","1.3964524"
"7447","1.2233882","1.2233882","1.2233882"
"7464","1.0532409","1.0532409","1.0532409"
"7477","1.356498","1.356498","1.356498"
"7498","1.4008025","1.4008025","1.4008025"
"7515","1.2000872","1.2000872","1.2000872"
"7544","0.8303592","0.8303592","0.8303592"
"7557","1.2779704","1.2779704","1.2779704"
"7582","1.3798604","1.3798604","1.3798604"
"7603","1.2003139","1.2003139","1.2003139"
"7616","1.645572","1.645572","1.645572"
"7633","1.646842","1.646842","1.646842"
"7662","1.4002943","1.4002943","1.4002943"
"7683","1.2307942","1.2307942","1.2307942"
"7700","1.2797368","1.2797368","1.2797368"
"7721","1.1179641","1.1179641","1.1179641"
"7734","1.4101876","1.4101876","1.4101876"
"7751","1.3654563","1.3654563","1.3654563"
"7772","1.3011494","1.3011494","1.3011494"
"7793","1.4252018","1.4252018","1.4252018"
"7818","1.353851","1.353851","1.353851"
"7831","1.5287745","1.5287745","1.5287745"
"7860","1.3477246","1.3477246","1.3477246"
"7877","1.0414721","1.0414721","1.0414721"
"7890","0.80925465","0.80925465","0.80925465"
"7919","1.1194011","1.1194011","1.1194011"
"7928","1.4152771","1.4152771","1.4152771"
"7949","1.3774881","1.3774881","1.3774881"
"7978","1.1972072","1.1972072","1.1972072"
"7995","1.2093589","1.2093589","1.2093589"
"8008","1.1099908","1.1099908","1.1099908"
"8029","0.9674885","0.9674885","0.9674885"
"8054","1.2774546","1.2774546","1.2774546"
"8075","1.492756","1.492756","1.492756"
"8096","1.3174115","1.3174115","1.3174115"
"8105","1.5550256","1.5550256","1.5550256"
"8126","1.117777","1.117777","1.117777"
"8147","1.5949537","1.5949537","1.5949537"
"8164","1.214065","1.214065","1.214065"
"8185","1.416369","1.416369","1.416369"
"8214","1.5285927","1.5285927","1.5285927"
"8223","1.7184235","1.7184235","1.7184235"
"8244","0.98070455","0.98070455","0.98070455"
"8273","1.3000482","1.3000482","1.3000482"
"8282","1.5629363","1.5629363","1.5629363"
"8303","1.2317766","1.2317766","1.2317766"
"8332","1.1949556","1.1949556","1.1949556"
"8341","0.8903284","0.8903284","0.8903284"
"8362","1.3013513","1.3013513","1.3013513"
"8391","1.3360364","1.3360364","1.3360364"
"8408","1.3525927","1.3525927","1.3525927"
"8429","1.5775776","1.5775776","1.5775776"
"8442","1.6046864","1.6046864","1.6046864"
"8459","1.1827916","1.1827916","1.1827916"
"8480","1.3263582","1.3263582","1.3263582"
"8509","1.4973162","1.4973162","1.4973162"
"8518","1.5369778","1.5369778","1.5369778"
"8539","1.6592425","1.6592425","1.6592425"
"8560","1.5181651","1.5181651","1.5181651"
"8577","1.2047789","1.2047789","1.2047789"
"8606","1.3939404","1.3939404","1.3939404"
"8627","1.4657714","1.4657714","1.4657714"
"8644","1.20032","1.20032","1.20032"
"8665","1.1578156","1.1578156","1.1578156"
"8686","0.95412827","0.95412827","0.95412827"
"8695","1.5783023","1.5783023","1.5783023"
"8724","1.5961349","1.5961349","1.5961349"
"8737","1.5113397","1.5113397","1.5113397"
"8754","1.4694949","1.4694949","1.4694949"
"8775","1.1148195","1.1148195","1.1148195"
"8796","1.3620414","1.3620414","1.3620414"
"8821","1.4955468","1.4955468","1.4955468"
"8834","1.4291202","1.4291202","1.4291202"
"8855","1.3033473","1.3033473","1.3033473"
"8872","1.4977247","1.4977247","1.4977247"
"8893","1.3838148","1.3838148","1.3838148"
"8914","1.2123021","1.2123021","1.2123021"
"8931","1.3271277","1.3271277","1.3271277"
"8960","1.5000015","1.5000015","1.5000015"
"8981","1.6430541","1.6430541","1.6430541"
"8998","1.154688","1.154688","1.154688"
"9011","1.1637852","1.1637852","1.1637852"
"9032","1.2741601","1.2741601","1.2741601"
"9057","1.634609","1.634609","1.634609"
"9078","1.4178014","1.4178014","1.4178014"
"9091","1.5890421","1.5890421","1.5890421"
"9108","0.9009641","0.9009641","0.9009641"
"9137","1.4519033","1.4519033","1.4519033"
"9150","1.1497728","1.1497728","1.1497728"
"9167","1.3954387","1.3954387","1.3954387"
"9188","0.9507961","0.9507961","0.9507961"
"9217","1.2975069","1.2975069","1.2975069"
"9234","0.88966376","0.88966376","0.88966376"
"9255","0.9351825","0.9351825","0.9351825"
"9268","1.1671417","1.1671417","1.1671417"
"9285","1.211347","1.211347","1.211347"
"9314","1.5828309","1.5828309","1.5828309"
"9327","1.3979744","1.3979744","1.3979744"
"9352","1.4719542","1.4719542","1.4719542"
"9365","1.5202357","1.5202357","1.5202357"
"9394","1.4404231","1.4404231","1.4404231"
"9411","1.5871469","1.5871469","1.5871469"
"9424","1.4371947","1.4371947","1.4371947"
"9445","1.4538358","1.4538358","1.4538358"
"9470","1.2935756","1.2935756","1.2935756"
"9483","1.5198509","1.5198509","1.5198509"
"9504","1.5055085","1.5055085","1.5055085"
"9521","1.4185951","1.4185951","1.4185951"
"9550","1.2313892","1.2313892","1.2313892"
"9563","1.2764544","1.2764544","1.2764544"
"9580","0.7978641","0.7978641","0.7978641"
"9601","1.4414794","1.4414794","1.4414794"
"9622","1.2964338","1.2964338","1.2964338"
"9647","1.4569434","1.4569434","1.4569434"
"9660","1.4367545","1.4367545","1.4367545"
"9681","1.6271521","1.6271521","1.6271521"
"9698","1.5388012","1.5388012","1.5388012"
"9719","1.271352","1.271352","1.271352"
"9740","1.2095245","1.2095245","1.2095245"
"9765","1.4239799","1.4239799","1.4239799"
"9778","1.4957328","1.4957328","1.4957328"
"9807","1.1582875","1.1582875","1.1582875"
"9824","1.1980054","1.1980054","1.1980054"
"9837","0.9963247","0.9963247","0.9963247"
"9858","1.5374037","1.5374037","1.5374037"
"9875","1.516965","1.516965","1.516965"
"9904","1.6520948","1.6520948","1.6520948"
"9925","0.8618472","0.8618472","0.8618472"
"9934","1.1996213","1.1996213","1.1996213"
"9955","1.3184012","1.3184012","1.3184012"
"9976","1.605164","1.605164","1.605164"
"9993","1.3962195","1.3962195","1.3962195"
"10022","1.2412893","1.2412893","1.2412893"
"10035","1.4560999","1.4560999","1.4560999"
"10060","1.2650205","1.2650205","1.2650205"
"10073","1.4353263","1.4353263","1.4353263"
"10102","1.4973422","1.4973422","1.4973422"
"10111","1.1454239","1.1454239","1.1454239"
"10132","1.6700836","1.6700836","1.6700836"
"10161","1.1076105","1.1076105","1.1076105"
"10170","1.2255815","1.2255815","1.2255815"
"10199","1.0815545","1.0815545","1.0815545"
"10220","1.5759878","1.5759878","1.5759878"
"10229","1.6319482","1.6319482","1.6319482"