"Step","Feb12_13-57-10_PPO - Reward / Total reward (mean)","Feb12_13-57-10_PPO - Reward / Total reward (mean)__MIN","Feb12_13-57-10_PPO - Reward / Total reward (mean)__MAX"
"13","-0.60977185","-0.60977185","-0.60977185"
"33","-0.6438357","-0.6438357","-0.6438357"
"42","-0.6303202","-0.6303202","-0.6303202"
"70","1.6270602","1.6270602","1.6270602"
"87","1.467117","1.467117","1.467117"
"107","1.3992364","1.3992364","1.3992364"
"119","1.2634466","1.2634466","1.2634466"
"144","0.57306814","0.57306814","0.57306814"
"164","1.1908234","1.1908234","1.1908234"
"184","0.65683246","0.65683246","0.65683246"
"201","0.8068817","0.8068817","0.8068817"
"213","0.8854963","0.8854963","0.8854963"
"241","0.9600722","0.9600722","0.9600722"
"258","0.7329588","0.7329588","0.7329588"
"270","0.83687544","0.83687544","0.83687544"
"298","1.0457258","1.0457258","1.0457258"
"315","1.1134801","1.1134801","1.1134801"
"335","0.64576834","0.64576834","0.64576834"
"355","1.0050907","1.0050907","1.0050907"
"372","1.1067537","1.1067537","1.1067537"
"392","1.1653206","1.1653206","1.1653206"
"412","1.126571","1.126571","1.126571"
"429","0.4932164","0.4932164","0.4932164"
"441","0.9228495","0.9228495","0.9228495"
"461","0.40915295","0.40915295","0.40915295"
"478","1.1110324","1.1110324","1.1110324"
"498","1.0443895","1.0443895","1.0443895"
"518","0.9105468","0.9105468","0.9105468"
"543","0.7984316","0.7984316","0.7984316"
"555","1.0076517","1.0076517","1.0076517"
"583","0.9261839","0.9261839","0.9261839"
"600","1.1306198","1.1306198","1.1306198"
"620","0.7967093","0.7967093","0.7967093"
"640","0.4890148","0.4890148","0.4890148"
"649","1.1346382","1.1346382","1.1346382"
"677","1.0359739","1.0359739","1.0359739"
"689","1.0682676","1.0682676","1.0682676"
"706","1.1736733","1.1736733","1.1736733"
"734","0.56761026","0.56761026","0.56761026"
"754","1.0205693","1.0205693","1.0205693"
"771","1.1950097","1.1950097","1.1950097"
"791","1.0703202","1.0703202","1.0703202"
"803","1.0958202","1.0958202","1.0958202"
"828","1.0277365","1.0277365","1.0277365"
"848","1.3996199","1.3996199","1.3996199"
"868","0.7529488","0.7529488","0.7529488"
"885","1.1839046","1.1839046","1.1839046"
"905","1.0948957","1.0948957","1.0948957"
"925","1.3229986","1.3229986","1.3229986"
"942","1.1135459","1.1135459","1.1135459"
"962","1.1541017","1.1541017","1.1541017"
"974","1.2096817","1.2096817","1.2096817"
"999","0.9618197","0.9618197","0.9618197"
"1011","0.9628468","0.9628468","0.9628468"
"1031","1.0638725","1.0638725","1.0638725"
"1056","0.45038387","0.45038387","0.45038387"
"1076","0.96787083","0.96787083","0.96787083"
"1096","1.299427","1.299427","1.299427"
"1113","0.88377833","0.88377833","0.88377833"
"1133","1.3001819","1.3001819","1.3001819"
"1153","1.111874","1.111874","1.111874"
"1170","1.3455572","1.3455572","1.3455572"
"1182","1.2219759","1.2219759","1.2219759"
"1210","1.2395272","1.2395272","1.2395272"
"1227","0.975274","0.975274","0.975274"
"1239","0.8776211","0.8776211","0.8776211"
"1267","1.2205015","1.2205015","1.2205015"
"1284","0.9726377","0.9726377","0.9726377"
"1304","0.6820722","0.6820722","0.6820722"